Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_00985	hokA	type I toxin-antitoxin system toxin HokA	2.18201442022086	2.74550089811462e-17	-2.0742619804693	1.22860767189048e-20	0.109737273824434	0.659291446918119
M8Y62_08845	hisL	his operon leader peptide	3.85164928821241	3.3634149443319e-17	-4.3921087674943	2.36716037869247e-33	-0.554855711798003	0.101668823954114
M8Y62_22500	M8Y62_22500	autoinducer 2 ABC transporter substrate-binding protein	1.8077796652238	5.21083993032529e-17	-4.05977076574158	2.18983277878817e-110	-2.25683439921985	1.38758231368042e-58
M8Y62_17485	mntS	manganase accumulation protein MntS	1.43780713622223	5.42346215075838e-17	-1.64953652683683	6.11005791097333e-26	-0.215448959323945	0.0959493620307194
M8Y62_02180	smg	DUF494 family protein Smg	0.956877148652883	5.50655084523324e-17	-1.42824355103687	7.3509771116737e-39	-0.474274971647823	1.19832939130201e-05
M8Y62_13275	M8Y62_13275	PTS fructose transporter subunit IIC	2.55655223000291	5.50655084523324e-17	-3.79109328877299	4.4519644331458e-80	-1.23750020381661	1.34040266826764e-06
M8Y62_03385	glgS	cell surface composition regulator GlgS	2.20728175302984	5.94189562073206e-17	-2.04484393162618	6.29339590788434e-34	0.159679586671867	0.424889726100676
M8Y62_24390	psiE	phosphate-starvation-inducible protein PsiE	2.75812652422628	7.73829249365328e-17	-1.25701348427982	3.59443689758443e-08	1.49777401905439	8.24950855885338e-11
M8Y62_00375	M8Y62_00375	TetR/AcrR family transcriptional regulator	-3.06419772890263	9.39873472240501e-17	2.56457206041879	1.04002846593376e-21	-0.50543080223463	0.112867523790879
M8Y62_10915	M8Y62_10915	YciY family protein	1.45555551533833	1.05595727604702e-16	-2.22796649414354	2.04603387355593e-53	-0.776391954182778	3.61245875592603e-08
M8Y62_26655	terE	tellurium resistance cAMP binding protein TerE	1.43875957614453	1.27573297226345e-16	-1.51141419484452	1.3745360831009e-23	-0.0757512472878482	0.588991868915545
M8Y62_27195	M8Y62_27195	YkgJ family cysteine cluster protein	1.69760066652314	1.36027733438943e-16	-2.36412722317766	4.28792007781093e-35	-0.669368861295758	8.38533434959742e-10
M8Y62_02150	mscL	large-conductance mechanosensitive channel protein MscL	1.50872867225185	1.4256918492654e-16	-3.66008287291728	1.40605234597515e-116	-2.15354513672027	6.13188602714916e-70
M8Y62_18045	odhB	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	-1.29792837480849	1.68918603715666e-16	0.478002631036091	0.000100165901177426	-0.823019768970282	1.36320430110377e-10
M8Y62_17850	M8Y62_17850	pyridoxal phosphatase	-1.28290697371349	1.70311441660877e-16	1.24558851166739	2.36205030477136e-25	-0.0406116726040605	0.828060970526211
M8Y62_02945	rnpB		1.82187366435726	2.12951848347785e-16	-3.08270655053884	3.15553056616753e-62	-1.26474584639268	1.24835396750245e-24
M8Y62_20590	M8Y62_20590	hypothetical protein	1.90154661480018	2.503537626203e-16	-3.05567930300468	4.0048323081998e-54	-1.15523210837205	5.25391298229221e-14
M8Y62_19510	hyi	hydroxypyruvate isomerase	3.39003884979145	2.79592792866958e-16	-4.35405512274002	7.38685038632125e-38	-0.96016462121131	0.000102361898395696
M8Y62_16310	dinI	DNA damage-inducible protein I	1.73896802224026	3.49074079720776e-16	0.0457937399082095	0.835089870049615	1.78212411913544	1.19060017208127e-29
M8Y62_07500	M8Y62_07500	hypothetical protein	1.87492002860546	5.10334234760065e-16	-3.48418919711891	5.69661183021699e-70	-1.61296065952142	2.73931560349817e-28
M8Y62_00850	M8Y62_00850	YibL family ribosome-associated protein	1.03283940646127	5.16504530377704e-16	0.218947801204309	0.105506829051506	1.24986417979608	8.16719837560403e-31
M8Y62_26590	M8Y62_26590	VWA domain-containing protein	1.45053929242145	5.16900797937184e-16	-2.34305911990776	7.33988509569221e-48	-0.896362560152203	8.97810383376541e-14
M8Y62_24915	M8Y62_24915	lipoprotein	-1.28699123989245	6.07227248441385e-16	1.33180268337936	1.36702284451188e-22	0.041838961727941	0.802297236003861
M8Y62_06170	hmpA	NO-inducible flavohemoprotein	-1.58307949001357	7.22275998223799e-16	0.453980341537038	0.0104240469975679	-1.13082448534462	8.799576517315e-16
M8Y62_06355	M8Y62_06355	zinc ribbon domain-containing protein	1.17177379390816	7.24679676594089e-16	-1.25309859555066	2.67050351266626e-20	-0.0855054440954446	0.574212060252821
M8Y62_21685	araC	arabinose operon transcriptional regulator AraC	-1.8178263116034	1.04619822617449e-15	2.14022412393568	1.87600599868593e-28	0.321587798319426	0.0458161128116228
M8Y62_10435	pckA	phosphoenolpyruvate carboxykinase (ATP)	1.07823239277715	1.06642320796326e-15	-2.15974026389535	4.49889477169065e-114	-1.08419397281107	3.77321776739823e-18
M8Y62_10040	M8Y62_10040	VirK/YbjX family protein	-2.24819901839021	1.06862922490723e-15	2.57061358946766	9.02862876397154e-36	0.316952349038366	0.25128357880163
M8Y62_17855	modC	molybdenum ABC transporter ATP-binding protein ModC	-3.37341989100909	1.14916422146114e-15	3.6543570270341	4.37541712084819e-26	0.280182255462714	0.192524897782855
M8Y62_11425	M8Y62_11425	DUF1062 domain-containing protein	1.12064837913461	1.27701722022025e-15	-0.198897056492579	0.166113092967361	0.91981636535534	1.02921792294056e-14
M8Y62_00685	radC	DNA repair protein RadC	1.12515315752066	1.39776043568574e-15	-0.654720910122649	4.5909608207858e-07	0.46723236718855	0.000130571694709567
