Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj	theme	curated_theme
M8Y62_10000	M8Y62_10000	tellurite resistance TerB family protein	-1.56061849151387	2.54400314368224e-08	0.785014109924273	0.0009840882709179	-0.77920173918207	4.92243407380062e-08	Other/unclear	Oxidative/redox stress
M8Y62_09065	clbK	colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbK	1.98597592050653	2.84652397372429e-08	-1.42839349145471	1.7285749694886299e-12	0.552127461896946	0.014780460704816	Metabolism	Metabolism
M8Y62_17300	M8Y62_17300	GrxA family glutaredoxin	1.29445375251774	4.75958704835884e-08	-0.84558862291736	8.72650969779327e-05	0.44455508159671	0.0027481376450299	Oxidative/nitrosative stress	Oxidative/redox stress
M8Y62_16300	M8Y62_16300	lipoprotein	0.692603539910006	6.3228471544644e-08	-0.297130677174763	0.0193606989571357	0.393112856933826	0.0005071163077092	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_02740	rbfA	30S ribosome-binding factor RbfA	1.26835367519965	6.78969118753352e-08	-0.739178282915247	7.41449789405714e-06	0.524645515118446	0.0009429702377988	Translation/ribosome	Translation/ribosome
M8Y62_21100	btuF	vitamin B12 ABC transporter substrate-binding protein BtuF	-1.16946599578656	8.15438155775985e-08	0.632818586492062	4.66124734881086e-05	-0.539373635698475	0.0067577640638474	Transport	Transport/secretion
M8Y62_20360	hemB	porphobilinogen synthase	-0.853004375688623	1.42321243210706e-07	0.454057329873267	0.0021777555052631	-0.402824799334049	0.0022360969955351	Metabolism	Metabolism
M8Y62_04700	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	2.58794929293818	2.5161220157006e-07	-1.22827171686371	0.0013456891436259	1.35118611099547	6.99968863135305e-10	Metabolism	Metabolism
M8Y62_23430	tamA	autotransporter assembly complex protein TamA	-0.884309481715446	2.73169177630186e-07	0.356839190410083	0.0177077831574282	-0.529907095949207	7.48732837690936e-05	Transport	Transport/secretion
M8Y62_19555	M8Y62_19555	ABC transporter ATP-binding protein	-1.9946523110772	4.59403499930605e-07	1.28964509137806	0.000133308844302	-0.710671494576919	1.41980549416272e-05	Transport	Transport/secretion
M8Y62_18640	M8Y62_18640	helix-turn-helix domain-containing protein	1.76414335361173	5.5394371664077e-07	-0.992171255169454	4.26088289332314e-05	0.769529917042184	0.0008979695360532	Other/unclear	Transcriptional regulation
M8Y62_04705	M8Y62_04705	tRNA-Met	2.33821400336423	6.71250813499638e-07	-1.68169574508568	2.42132590123495e-07	0.64861995669099	0.0257624770446027	Other/unclear	Translation/ribosome
M8Y62_17605	hlyD	secretion protein HlyD	-2.89034437788124	7.3351062525956e-07	0.962009380799908	0.0485086198469197	-1.92682072040314	3.3055754377932004e-20	Other/unclear	Transport/secretion
M8Y62_10740	narL	two-component system response regulator NarL	-1.12035333675119	7.39515674860911e-07	0.35611876314698	0.0380497145362064	-0.768433137481144	9.39230859478573e-05	Transcriptional regulation	Transcriptional regulation
M8Y62_17495	ompX	outer membrane protein OmpX	-1.09249177253876	1.20887501583799e-06	0.440730110115008	0.001631251182355	-0.653331112398147	4.73462637980291e-05	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_02055	rplX	50S ribosomal protein L24	1.02764975669566	1.25948201136223e-06	-0.470812143807173	0.0021189278057117	0.552868194609152	0.0001665185232895	Translation/ribosome	Translation/ribosome
M8Y62_09070	clbL	colibactin biosynthesis amidase ClbL	1.72586465798089	1.27906870740226e-06	-1.23562654977674	9.941889699395168e-11	0.484985672289913	0.0361995729291908	Other/unclear	Colibactin/secondary metabolism
M8Y62_24300	pspG	envelope stress response protein PspG	1.70760325700275	1.51115615830356e-06	-1.1174022022215	1.9039111081409803e-09	0.587217858454145	0.0177859621166453	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_01980	bfd	bacterioferritin-associated ferredoxin	1.80637327517272	1.66016324557523e-06	-1.1395194019777	6.50095780782743e-06	0.663616977491824	0.0355537142175817	Oxidative/nitrosative stress	Oxidative/redox stress
M8Y62_02960	M8Y62_02960	hypothetical protein	2.12453510737776	1.84940034513888e-06	-1.71001517839549	6.46249452204053e-06	0.410155051831505	0.0227307642045218	Other/unclear	Uncharacterized
M8Y62_25620	M8Y62_25620	serine/threonine protein kinase	-0.711276530860175	2.26357236084643e-06	0.420583524218988	0.0001088556325233	-0.293224533611978	0.0326315720406019	Metabolism	Metabolism
M8Y62_16560	M8Y62_16560	small membrane protein	1.98000595219311	2.74169067153107e-06	-1.18185391710442	0.0006294786880223	0.794812706929997	1.23174525790054e-05	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_23420	M8Y62_23420	gamma-glutamylcyclotransferase	1.42233803710671	3.13072013181598e-06	-1.09291317162775	6.67761963114991e-05	0.325811153308899	0.0080470186592792	Metabolism	Metabolism
M8Y62_02465	rpsI	30S ribosomal protein S9	1.46703899590998	3.34493152606487e-06	-0.571118320975335	0.029873831248395	0.89011480290481	1.9574407255822e-09	Translation/ribosome	Translation/ribosome
M8Y62_05905	rplS	50S ribosomal protein L19	1.31999135175344	4.49689123077665e-06	-0.527960022902209	0.0052446538956183	0.786752871833317	1.02894188376636e-05	Translation/ribosome	Translation/ribosome
M8Y62_17985	pal	peptidoglycan-associated lipoprotein Pal	1.15155373365968	5.39443880739776e-06	-0.689741211979196	0.0008361774533182	0.457315970899497	0.0015089935389978	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_16930	M8Y62_16930	MBL fold metallo-hydrolase	1.49419912976772	6.15309343770029e-06	-0.922842605022148	0.0001871061803262	0.565505308131083	0.0013196527020976	Other/unclear	Metabolism
M8Y62_19565	M8Y62_19565	SDR family oxidoreductase	-1.22038976565758	8.63185414687857e-06	0.776810873222234	0.0009610266001591	-0.445998318173401	0.01274258176521	Metabolism	Metabolism
M8Y62_19375	M8Y62_19375	hypothetical protein	2.15869037638857	9.10637022310739e-06	-1.35495473715425	9.67843479594693e-06	0.800443259352834	0.0260933053053918	Other/unclear	Uncharacterized
M8Y62_27005	M8Y62_27005	phosphoadenosine phosphosulfate reductase	0.66023795313271	1.0583772215493e-05	-0.376098091983525	0.0094906521793445	0.281920443537942	0.0203727638437233	Other/unclear	Sulfur metabolism
M8Y62_03070	M8Y62_03070	B3/4 domain-containing protein	-1.08995955183877	1.08911203320186e-05	0.471470288799248	0.0173184628010592	-0.623657594400521	0.0009208935449931	Other/unclear	Uncharacterized
M8Y62_18175	ybfF	esterase	-0.919300981485234	1.09917418119057e-05	0.365680016723428	0.0323062834985285	-0.55585743251983	0.0025780500938491	Other/unclear	Metabolism
M8Y62_17405	moeA	molybdopterin molybdotransferase MoeA	-0.849701554530928	1.11601316582073e-05	0.426600118215744	0.0038447788999753	-0.425347587777831	0.0109815377390778	Metabolism	Metabolism
M8Y62_14625	paaX	phenylacetic acid degradation operon negative regulatory protein PaaX	-1.01624744870334	1.12560074635285e-05	0.452438199265969	0.0050217165551022	-0.56657155207435	0.0021427406296875	Transcriptional regulation	Transcriptional regulation
M8Y62_02105	rpmJ	50S ribosomal protein L36	1.28229988379562	1.18780164659847e-05	-0.835739039110168	6.55705759667937e-05	0.441282409425729	0.0110367921509641	Translation/ribosome	Translation/ribosome
M8Y62_02110	rpsM	30S ribosomal protein S13	0.827860038179056	1.48798319579134e-05	-0.332671570921259	0.017523484631841	0.491336898155293	0.0004201707080869	Translation/ribosome	Translation/ribosome
M8Y62_25550	dtd	D-aminoacyl-tRNA deacylase	-1.10688935900817	1.72244168392264e-05	0.555959476666569	0.0030661918337138	-0.553681863751088	0.012582996267635	Translation/ribosome	Translation/ribosome
M8Y62_26815	iutA	ferric aerobactin receptor IutA	0.628785974482139	1.74730136038505e-05	-0.304095152954631	0.0186792386114679	0.322056787062501	0.0102697819434761	Other/unclear	Iron acquisition
M8Y62_10210	M8Y62_10210	Slp family lipoprotein	0.998220756465548	2.11169431442508e-05	-0.56176400127983	0.0095577082761862	0.43276338890395	0.0011105863633512	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_04600	pduF	propanediol diffusion facilitator PduF	1.55509151730263	2.15730756012168e-05	-0.748389357022903	0.013385426187666	0.808079790943709	0.0006251009707089	Other/unclear	Transport/secretion
M8Y62_24720	M8Y62_24720		1.49948664560559	2.16618288758232e-05	-1.21213892419708	0.0001099771510983	0.285749656657479	0.0350432443015909	Other/unclear	Uncharacterized
M8Y62_05965	bamD	outer membrane protein assembly factor BamD	0.555497246682897	2.32701330215198e-05	-0.253058638656929	0.0342955979489866	0.299392086609135	0.0123509090862978	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_10995	pheT	phenylalanine--tRNA ligase subunit beta	1.21900950931201	2.49251145143105e-05	-0.632573783758443	0.0115096388459744	0.581441580359488	7.74559541188916e-06	Translation/ribosome	Translation/ribosome
M8Y62_08935	M8Y62_08935	lipoate--protein ligase family protein	-1.80062010102775	2.73504662090015e-05	0.976889862291382	0.0028978940439244	-0.826493210846931	0.0188361105070664	Other/unclear	Cobalamin/cofactor metabolism
M8Y62_01410	M8Y62_01410	DcrB family lipoprotein	0.692393522353168	3.00412964246088e-05	-0.418333726454708	0.0073228156014296	0.271911586961275	0.0246724786029685	Envelope/cell surface	Envelope/LPS/cell wall
