Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_08315	2217.67229831113	1.74576331728736	0.197789492892384	8.82637035849632	1.08127553980217e-18	9.82251508407915e-18
M8Y62_10645	634.005307423994	1.06689842783677	0.120951484816008	8.82087912736038	1.1356455414041e-18	1.02987272339683e-17
M8Y62_03880	1377.39206078598	0.954847070204614	0.108269969422386	8.81913124478257	1.15351171988523e-18	1.04428364093035e-17
M8Y62_07735	971.826374548728	-1.0480401366125	0.118884585581992	-8.81560995886796	1.19035208218895e-18	1.07579341171504e-17
M8Y62_01885	2386.34127451738	-1.50784212558519	0.171609154304396	-8.78649004301139	1.54305353564957e-18	1.39217133839237e-17
M8Y62_21670	139.142801230392	1.76950368982189	0.20146166354854	8.7833271037968	1.58708764203169e-18	1.42946036855563e-17
M8Y62_09490	69.2310743486332	-2.27250390296133	0.258810267188435	-8.78057863642157	1.62635759271626e-18	1.46233887630797e-17
M8Y62_05325	126.271349629958	2.20142696554741	0.250849355324151	8.77589245825528	1.69553799452421e-18	1.52195405382844e-17
M8Y62_25690	129.966056261974	1.83952473695024	0.20982633512374	8.76689160998514	1.83666445353488e-18	1.6458381298032e-17
M8Y62_03440	370.778310742745	2.45554364560207	0.28018262132332	8.7640826329784	1.88303680354537e-18	1.68453732323932e-17
M8Y62_11010	192.540816599668	-2.65324921158419	0.302808808964746	-8.76212690329327	1.91600400512812e-18	1.71113398228249e-17
M8Y62_09045	2866.94573756976	-1.81488432483772	0.207248997252591	-8.75702343025468	2.00473996781226e-18	1.78736259862115e-17
M8Y62_24485	475.380745421263	-1.24800052047841	0.142620893388803	-8.75047470833183	2.1245711548843e-18	1.89101139661167e-17
M8Y62_10015	2088.4486749172	-1.529812591209	0.174876603311882	-8.74795462764491	2.17254579685336e-18	1.93046212234684e-17
M8Y62_22390	1754.57304935515	2.10447066870909	0.240851541026192	8.73762592401364	2.38060267490825e-18	2.11178629903354e-17
M8Y62_21940	529.658266752653	-2.06197182286722	0.236347614579201	-8.72431831621573	2.67788853570938e-18	2.37152373338283e-17
M8Y62_17110	567.093345009287	1.86357970550501	0.213764939785493	8.71789222018849	2.83428560938966e-18	2.50583077204734e-17
M8Y62_11495	234.544355717366	-1.54123702683632	0.176880012069229	-8.71346066073933	2.94735992874978e-18	2.60145107567614e-17
M8Y62_24815	890.764791086273	1.4257816552284	0.163662989388451	8.71169261025985	2.99370578000519e-18	2.6379537431479e-17
M8Y62_24310	429.428534014077	-1.20717953612468	0.138635366682433	-8.70758714037176	3.10411567043747e-18	2.73069210475921e-17
M8Y62_01340	170.711748722191	2.82057122961953	0.324124770419058	8.70211562656208	3.25753426752908e-18	2.86089429774522e-17
M8Y62_03345	278.741051353232	-1.31521583801014	0.15121243381247	-8.69780219026985	3.3837371245304e-18	2.96680235114299e-17
M8Y62_24935	489.313694888944	1.20382720825362	0.138410988570116	8.69748291439871	3.39326810794809e-18	2.97023319316582e-17
M8Y62_23160	1166.99509280561	1.21709863528105	0.140130656343189	8.68545589553439	3.77226387104147e-18	3.29108235745813e-17
M8Y62_26270	368.873718413534	-1.42158162753267	0.163671293683339	-8.68558924134282	3.76784104100338e-18	3.29108235745813e-17
M8Y62_25805	150.174129765893	2.13362138711983	0.246228029752329	8.66522543865522	4.50620421110646e-18	3.92492613906423e-17
M8Y62_08720	1485.78173753121	-2.05134557433365	0.236871200150971	-8.66017300974629	4.71048781602373e-18	4.09611004659826e-17
M8Y62_09095	490.973805926613	-1.9716476459258	0.22814769414982	-8.64197928132932	5.52474496948944e-18	4.79627695462901e-17
M8Y62_08680	822.720751329653	-2.6458060917677	0.306273323580007	-8.63870891803783	5.68518193725015e-18	4.92746834462976e-17
M8Y62_23110	11499.6333700685	-2.89467218290025	0.335196009999798	-8.63575966462725	5.83380464790423e-18	5.04800739336656e-17
M8Y62_22520	290.593613152783	1.93081137943619	0.223719652960242	8.6304951482261	6.1086943997457e-18	5.27723321755809e-17
M8Y62_06640	263.908199362402	-1.41154715067379	0.163644294549626	-8.62570341702764	6.36999036563764e-18	5.49398679659481e-17
M8Y62_01690	1059.97606706449	-2.43098865222426	0.281946124012925	-8.62217439851317	6.56945501880955e-18	5.64759490804002e-17
M8Y62_24920	169.892395938069	1.57781064371032	0.182991574104862	8.62231308424164	6.56150120164235e-18	5.64759490804002e-17
M8Y62_22495	263.599077856722	-1.97143850695991	0.228883580027528	-8.61328063255043	7.09990124444521e-18	6.09369770769185e-17
M8Y62_00080	232.071050761461	2.59876254746844	0.301751354919301	8.61226471762966	7.16312034617841e-18	6.13799307459404e-17
M8Y62_23035	161.5996200464	-2.27832552162286	0.264557650538494	-8.6118300377458	7.19033935169528e-18	6.15134695022863e-17
M8Y62_11155	62.7339328160545	2.97484693554121	0.3457328255129	8.60446771615619	7.66717276142279e-18	6.54868213079843e-17
M8Y62_12390	2282.94302960673	-1.45888034013998	0.169589198940138	-8.60243664842678	7.80412329276242e-18	6.65490320142498e-17
M8Y62_20065	869.298865325226	1.30576666169315	0.151800658129355	8.60185112359956	7.84405037924435e-18	6.67817944526004e-17
M8Y62_00470	285.326182833068	-1.57632211193447	0.183404265136117	-8.59479527787737	8.34133727981029e-18	7.09013668783875e-17
M8Y62_20510	65.3870645343132	-2.093384067806	0.24362275251157	-8.5927280856355	8.49283561758665e-18	7.20732293903381e-17
M8Y62_25110	615.841279259097	-1.83102883005812	0.213426265866275	-8.5792103545745	9.55266416528913e-18	8.09373965414802e-17
M8Y62_21380	682.599216014135	1.32574802997586	0.154653610876242	8.57237036021589	1.01376446657794e-17	8.57563637567614e-17
M8Y62_10830	1746.84933196754	-1.18391050515473	0.138137158279463	-8.57054336357186	1.0299789094472e-17	8.69887938378171e-17
M8Y62_20975	968.310140265207	1.27794468657762	0.149267622301565	8.56143259250015	1.11473586904019e-17	9.39969464053504e-17
M8Y62_06000	825.118240001618	-1.49201143479445	0.174585786079805	-8.54600748604151	1.27419757133411e-17	1.07272015280946e-16
M8Y62_02935	652.65632414577	2.34903546122052	0.274915449724787	8.54457420844154	1.29011042852054e-17	1.08439011694564e-16
M8Y62_10695	477.914510165837	-1.31899199299389	0.15453304999296	-8.5353391591894	1.39744885344314e-17	1.17274795050062e-16
M8Y62_11115	629.816938027647	-3.2384626102772	0.379455640200088	-8.53449591253815	1.40767812027096e-17	1.1794602570321e-16
M8Y62_08715	6037.4929927093	-2.52713633679534	0.296387588470945	-8.52645804040836	1.50896876807329e-17	1.26232877797523e-16
M8Y62_17130	2229.31982373252	-1.56813863257076	0.18393049687335	-8.5257130232761	1.51871364373458e-17	1.26847378110975e-16
