Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_18170	694.844389631431	0.348246829935251	0.124211534758923	2.80365934300022	0.0050526258570746	0.0104237610183736
M8Y62_06000	452.727020980752	-0.458387688266555	0.163701857596602	-2.80013736555222	0.00510808645825875	0.0105340538350549
M8Y62_10445	145.672609050667	0.528764562701136	0.189018793099997	2.79741793939719	0.00515128508660583	0.010618983224306
M8Y62_25455	109.188497609451	0.630389269606032	0.225430446794451	2.79638034067699	0.00516785437612894	0.0106489732920701
M8Y62_18720	48.531875859006	0.828281601266861	0.296375130980948	2.79470682484525	0.0051946800514144	0.0106958847951944
M8Y62_22085	176.051905652622	-0.445987559463904	0.159578839632082	-2.79477880959752	0.00519352358488132	0.0106958847951944
M8Y62_19685	368.084762037407	-0.377601825033325	0.135163595058916	-2.7936651497671	0.00521144108290253	0.0107262043225834
M8Y62_26575	1043.96772145453	-0.318867037611295	0.114279423257265	-2.79024017205149	0.00526689555615964	0.010836108038034
M8Y62_20255	582.587376721153	-0.336866044150629	0.120800737342724	-2.78860917210219	0.00529349028334137	0.0108865731080896
M8Y62_09255	53.7390707006359	0.736951600460902	0.264326421660763	2.78803607989937	0.00530286375769424	0.0109015954503671
M8Y62_17405	290.858354483059	-0.425347587777831	0.152698330130977	-2.78554184196375	0.00534383426893065	0.0109815377390778
M8Y62_02105	2361.06581038914	0.441282409425729	0.158518693652931	2.7837878249987	0.00537281682809315	0.0110367921509641
M8Y62_15215	245.582764611804	-0.430576998838928	0.154760512287384	-2.78221487170682	0.0053989282097794	0.0110861078477505
M8Y62_13505	46.5898726642654	0.875564805910536	0.314801666673692	2.78132201510262	0.00541380075670399	0.0111123163954318
M8Y62_19990	63.7934357243284	-0.809988558802829	0.291399132606107	-2.77965329395032	0.0054416962868129	0.011165224974773
M8Y62_17005	1135.6570325172	-0.324705256736646	0.116827303261233	-2.779361054073	0.00544659490698915	0.0111709258719057
M8Y62_13585	273.60797515717	-0.433092406774615	0.155843956118132	-2.7790131716518	0.00545243141532112	0.0111785451857303
M8Y62_03640	29.2174030173455	0.934430211192326	0.336422183460348	2.77755230520482	0.00547700241205949	0.0112245529790515
