	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_16525	11.1464369548467	2.29504525373245	0.713449015274223	3.21683148283598	0.00129614705956351	0.00540458020019785
M8Y62_16540	5759.60103602968	1.18280122320271	0.175779641991931	6.72888629080841	1.70966590439181e-11	3.65072032676757e-10
M8Y62_16560	409.509049198645	1.98000595219311	0.384545554239838	5.14895031385071	2.61948252988111e-07	2.74169067153107e-06
M8Y62_16695	37.4728126670546	1.85144707283448	0.403362546416216	4.59003219134786	4.43177655085791e-06	3.59322780741759e-05
M8Y62_16720	148.216515712163	1.19879158047532	0.199378222607989	6.01265055327706	1.82514193040125e-09	2.77265132684098e-08
M8Y62_16795	642.599257803398	1.18046450347671	0.186654741248889	6.32432101953766	2.54348466922987e-10	4.55343703242262e-09
M8Y62_16810	1502.47294304103	2.07874768314322	0.189157328612598	10.9895170247439	4.29216713203275e-28	1.26785848005656e-25
M8Y62_16910	92.6455233305257	1.45977593508617	0.270420486713779	5.39817065203066	6.73238163635735e-08	7.81573649792839e-07
M8Y62_16930	3045.89679814582	1.49419912976772	0.30003057560188	4.980156194982	6.3532975311218e-07	6.15309343770029e-06
M8Y62_16935	1476.38259907743	1.58582071504754	0.271988654556894	5.83046641276656	5.52726637797659e-09	7.65324878429727e-08
M8Y62_16970	1208.32523493356	1.06275371299263	0.169484852555079	6.27049377552636	3.59904938336043e-10	6.25364234357104e-09
M8Y62_17045	28313.2410571175	1.11038589568995	0.24474300323664	4.53694643362829	5.7074595850563e-06	4.53610801401261e-05
M8Y62_17060	2501.72524647005	1.27019619629367	0.174929330488151	7.26119623706964	3.83681827452771e-13	1.04617244952122e-11
M8Y62_17065	1252.7238518276	1.28039370166076	0.230902149660984	5.54517878478249	2.93653961796464e-08	3.63952940529557e-07
M8Y62_17135	4646.7248926831	1.25320219949979	0.267614494374863	4.68286369326602	2.82894640200458e-06	2.37622559549105e-05
M8Y62_17155	223.926556362951	1.25490247567686	0.389239436698238	3.22398595147937	0.00126419601396939	0.00529110689640192
M8Y62_17280	400.858855028004	1.04646701528651	0.211048412502485	4.9584216383252	7.10681929866536e-07	6.79621550557621e-06
M8Y62_17300	418.697972791528	1.29445375251774	0.218747556468099	5.91756897045161	3.26734864143498e-09	4.75958704835884e-08
M8Y62_17305	687.503432830147	1.17371575627197	0.319004164286068	3.67931170710183	0.000233864284609788	0.00123973718970114
M8Y62_17365	2466.67386348079	1.62702620322802	0.151556496119084	10.7354435137482	6.93849928852679e-27	1.67690912350441e-24
M8Y62_17485	1273.80688613145	1.43780713622223	0.162019417739156	8.8742889974894	7.03815851800505e-19	5.42346215075838e-17
M8Y62_17580	23.7771921092226	1.39613852268908	0.514888679751163	2.7115347017608	0.00669725304780746	0.0216469875107552
M8Y62_17585	10.0485128835282	1.73674104827881	0.66954818965463	2.59389999870609	0.00948940834058412	0.0289639403828276
M8Y62_17670	284.103808595895	1.39796172967071	0.206192917215541	6.77987269664248	1.20281821737923e-11	2.65368649867443e-10
M8Y62_17700	26.9988365927283	1.24484345081099	0.511388679318987	2.43424131419713	0.0149230424590278	0.0425446738630837
M8Y62_17780	136.730777105963	1.27314736443917	0.32484212484134	3.9192803736923	8.88137505853144e-05	0.000532185055734893
M8Y62_17840	85.9110286347304	1.27915075245121	0.313685770395929	4.07780930208179	4.5462029599964e-05	0.000292995892585465
M8Y62_17955	284.171329652182	1.39253872078489	0.181767208225166	7.66111079320683	1.84331748512081e-14	6.04995004221441e-13
M8Y62_17985	1309.14214435854	1.15155373365968	0.229973932816693	5.00732287157762	5.51923022611319e-07	5.39443880739776e-06
M8Y62_18020	124.969739456978	1.40786783715012	0.241804885928308	5.82232998206468	5.80328241817793e-09	7.99379601488395e-08
M8Y62_18260	210.53361245134	1.90099778999519	0.320889251872171	5.92415538664559	3.13906536073921e-09	4.61061064172663e-08
M8Y62_18275	86.3091535258486	1.98924411194047	0.407914042142815	4.87662572607395	1.07915915506179e-06	9.96161324212422e-06
