	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_07980	119.17075642825	-2.04727632171526	0.464447455169246	-4.40798264460126	1.04337903614546e-05	7.83202835339695e-05
M8Y62_07985	598.833649971262	-1.42517632014188	0.323375138593876	-4.40719198865733	1.04719361110731e-05	7.84215271867261e-05
M8Y62_08070	26.2586487690697	1.32329943049432	0.533128945164733	2.48213765637022	0.0130596813306596	0.0380483976082834
M8Y62_08110	1191.71310303731	1.03181459288448	0.314004083021524	3.28599100672761	0.00101624254491577	0.00440371769463501
M8Y62_08200	426.784949926148	-2.85590063767801	0.345357779167458	-8.26939715839797	1.34638056027401e-16	6.11855165724523e-15
M8Y62_08205	575.694222587318	-2.33256027733447	0.312959463663531	-7.45323451807244	9.1079172093454e-14	2.72060650573536e-12
M8Y62_08210	857.621296085748	-2.56548513346469	0.387789047761289	-6.61567196978684	3.69867725984965e-11	7.65208832319867e-10
M8Y62_08250	100.101906295028	-1.31323488540087	0.271059227225242	-4.84482634605025	1.26722465500076e-06	1.14589004942841e-05
M8Y62_08280	228.762869448519	-1.84871832249115	0.288562730229148	-6.40664274635563	1.48758832487176e-10	2.76556193123886e-09
M8Y62_08285	295.214819167405	-1.01340784816869	0.39383191732601	-2.5731988789771	0.0100763287304402	0.0304927944563179
M8Y62_08305	539.818638360683	-1.48809265178453	0.248250829943741	-5.99431088355985	2.04350117199749e-09	3.08673174190644e-08
M8Y62_08315	1548.35312294543	-1.4900576586431	0.233196776963144	-6.38970091288442	1.66210524120708e-10	3.05792857006853e-09
M8Y62_08320	354.312658662749	-1.24729789019722	0.263616793404044	-4.73148115524452	2.22887512356075e-06	1.92698033040204e-05
M8Y62_08335	437.122469680335	-1.14927079445902	0.203374089999146	-5.65101874316362	1.59499696691014e-08	2.09397503038549e-07
M8Y62_08405	90.5053258003312	-1.17245360627122	0.341021787143264	-3.43806070601194	0.000585896333458617	0.00273264105701707
M8Y62_08425	110.613601378376	-1.26935947489244	0.392527889123341	-3.23380710024805	0.00122151929628051	0.00515461753835198
M8Y62_08450	11.3680497328749	2.08110668719844	0.687503204141484	3.02705016451117	0.00246952971739148	0.00931901313511037
M8Y62_08455	282.843565982991	1.17991639532215	0.358335095558273	3.2927737471092	0.000992042711589097	0.00431644115999937
M8Y62_08500	32.342209208299	1.52069979896965	0.462724856747274	3.28640179319395	0.00101476151333417	0.00440088659575674
M8Y62_08510	21.3033230225042	1.52598223675145	0.542610889774121	2.81229563488245	0.00491892701235036	0.0166585572768579
M8Y62_08520	101.189296740316	-1.06352678694165	0.399841907769346	-2.65986822860789	0.00781712281744509	0.0245357981229962
M8Y62_08525	42.7250824224309	-1.58393928584782	0.544521582072991	-2.90886410749373	0.00362744497796798	0.0129792227105355
M8Y62_08530	46.8869337387941	-1.67810895592619	0.641989588475888	-2.61391926917396	0.00895101840261243	0.0274942604544716
M8Y62_08540	46.5880322745334	-1.16326076762743	0.383242036729598	-3.0353162131016	0.00240283617918248	0.00911261053117922
M8Y62_08570	64.9598917113045	-1.25971334719581	0.343870011996458	-3.66334167926451	0.00024894610980805	0.00130924477334263
M8Y62_08580	174.694270071456	-1.63539547134228	0.242409936261004	-6.74640444433535	1.51553796544744e-11	3.26932722798355e-10
M8Y62_08595	25.4312347196583	1.8072478156056	0.491926159270979	3.67381929491997	0.000238951752576937	0.00126418554074784
M8Y62_08600	2.11206092874187	5.90305934773349	1.98548900927405	2.97310099434487	0.00294807430237718	0.0108702573271425
M8Y62_08670	3675.81067284245	1.75912973140524	0.317931444245955	5.53304733848332	3.14714488124018e-08	3.88245228156707e-07
M8Y62_08675	762.473031381827	1.32952290957486	0.3969427387024	3.34940730726314	0.00080984647970905	0.00362149178520859
M8Y62_08680	709.049548670406	1.24081108269518	0.452130014160949	2.74436786727783	0.00606275558984392	0.0198251362061501
M8Y62_08685	861.011743496369	1.6808891885604	0.451763417620728	3.72072886603574	0.000198648623520623	0.00107777013393791
M8Y62_08690	1695.94007583899	1.67481431965736	0.418279526892936	4.0040552118298	6.22658225842997e-05	0.00038811239800475
M8Y62_08695	2133.53735603018	1.50924481579248	0.477051255152452	3.16369530420829	0.00155779791673203	0.00628437900095917
M8Y62_08700	4537.74305955904	1.54409118315026	0.415045190591312	3.72029653192801	0.000198989001036201	0.00107851632875584
M8Y62_08705	1675.37682046417	1.54482292001899	0.389130772965144	3.96993254542058	7.18929822409558e-05	0.000438365810292617
M8Y62_08710	587.024185376209	1.11473700889593	0.441379387106976	2.52557559654628	0.0115508927101394	0.0342532607584001
M8Y62_08715	4638.16503937364	1.42719210566612	0.398401631309277	3.58229483392401	0.000340589084228396	0.00171163720306463
M8Y62_08770	1213.58486455248	1.02160409534863	0.319264803135532	3.1998644551963	0.00137492231754902	0.00568907545712696
M8Y62_08795	226.276584375031	1.71219238697164	0.304368530304014	5.62539230077905	1.85086854842823e-08	2.38860875533808e-07
M8Y62_08800	68.7885162929105	1.42975103401941	0.437809615465801	3.26569125828415	0.0010919723592887	0.00470122836788505
M8Y62_08845	102.239017744715	3.85164928821241	0.431288276272306	8.93056802170194	4.2382697248493e-19	3.3634149443319e-17
M8Y62_08870	276.905914382738	-1.32400381846422	0.207707134197885	-6.37437815305286	1.83706801156618e-10	3.35736064207156e-09
M8Y62_08880	348.02791413609	-1.23242496817159	0.208138823995224	-5.92116811518006	3.19662873286553e-09	4.66936125622144e-08
M8Y62_08900	2820.29602271336	1.05716890846946	0.157561219431138	6.70957556869817	1.95191314714676e-11	4.13478972246189e-10
M8Y62_08920	105.952439691136	-1.16698537651738	0.353147548770673	-3.30452633914556	0.000951370359410626	0.00416654128819111
M8Y62_08935	33.2254269941579	-1.80062010102775	0.38706199793597	-4.65201985891063	3.28699415225728e-06	2.73504662090015e-05
M8Y62_09010	84.868673561572	1.12743790942143	0.33481470557872	3.36734883694156	0.000758946207857782	0.0034255662030389
M8Y62_09020	32016.4221749906	1.11454144485939	0.206061729264957	5.40877458825115	6.34574373797374e-08	7.4317884261688e-07
M8Y62_09025	12684.1874830824	1.24872906401945	0.288550233448542	4.32759678997847	1.50745107290934e-05	0.000108020449523706
M8Y62_09030	5992.74499200044	2.17999373595312	0.286495331586186	7.60917716838018	2.75846408824077e-14	8.78248715998574e-13
M8Y62_09035	2435.80935216115	2.46546630520114	0.293767419907179	8.39257908851891	4.75591861391233e-17	2.50368507625464e-15
M8Y62_09040	4313.88175046766	2.55531886261948	0.27211650301139	9.39053249009496	5.96976786248811e-21	6.6127616093436e-19
M8Y62_09045	4208.06401046641	2.30676154534718	0.321144248268438	7.18294522721454	6.82254389668096e-13	1.76953492188549e-11
M8Y62_09050	15539.9414421651	2.74292431878044	0.359830235241885	7.62282890690548	2.48175733160952e-14	7.94909863383605e-13
M8Y62_09055	13596.8191355487	2.68780015431613	0.396135972259854	6.78504438509567	1.16050827454224e-11	2.57100937322546e-10
M8Y62_09060	12364.2105589965	2.64705271093954	0.421741121133473	6.27648711092082	3.46308079413545e-10	6.07696388858687e-09
M8Y62_09065	11059.8165529881	1.98597592050653	0.330559354636136	6.00792533217701	1.87912340563706e-09	2.84652397372429e-08
M8Y62_09070	1707.34303588316	1.72586465798089	0.325555740760716	5.30128774245577	1.1498868575104e-07	1.27906870740226e-06
M8Y62_09075	1867.21954063042	1.80953940585597	0.29923460898223	6.04722632856759	1.47360681343005e-09	2.27766494971151e-08
M8Y62_09080	4536.83867143783	1.65470521253991	0.335789982240601	4.92779802869246	8.31615156931776e-07	7.86778966086522e-06
M8Y62_09085	2708.97737031311	1.46671638508909	0.259869153801643	5.64405726355897	1.66088791433095e-08	2.16976438341466e-07
M8Y62_09090	974.247994872664	1.60098346776576	0.243958118113472	6.56253409456573	5.29009394246372e-11	1.05742216135637e-09
