Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_19950	608	764	931	447	447	533	1788	1289	1099	305	355	257
M8Y62_19955	420	422	431	241	233	281	1207	863	770	131	141	116
M8Y62_19960	3614	3739	3624	7244	8507	8549	3911	2654	2712	8116	9058	10727
M8Y62_19965	3020	2512	2411	6854	8660	10099	4994	3553	3795	8797	9787	16287
M8Y62_19970	545	462	533	788	1054	1321	1174	813	819	1309	1481	3555
M8Y62_19975	233	181	193	279	363	406	445	296	307	431	518	1250
M8Y62_19980	1148	943	1038	1324	1593	1765	1674	1109	1251	1663	1883	4423
M8Y62_19985	312	313	227	432	555	489	250	181	183	638	657	763
M8Y62_19990	63	51	46	41	77	99	88	59	96	42	48	739
M8Y62_19995	8	7	6	6	2	4	13	10	7	4	4	25
M8Y62_20000	24	18	29	18	19	17	60	45	37	16	29	21
M8Y62_20005	4	1	2	1	2	6	6	5	3	5	3	1
M8Y62_20015	19	14	19	7	8	7	47	30	22	4	5	2
M8Y62_20020	58	42	49	19	18	34	83	62	76	24	18	9
M8Y62_20025	907	1073	1528	4061	4170	4800	3737	3058	3344	2512	2988	2116
M8Y62_20030	410	505	525	244	271	284	991	787	760	321	334	220
M8Y62_20035	451	541	569	450	479	396	980	602	695	738	801	555
M8Y62_20040	383	472	411	371	423	435	1008	746	763	420	395	346
M8Y62_20045	260	302	326	317	345	395	967	722	694	258	300	273
M8Y62_20050	72	95	94	86	77	90	187	176	158	49	64	31
M8Y62_20055	1442	1667	1504	542	646	627	2250	1605	1327	710	760	355
M8Y62_20060	394	388	381	198	177	234	1060	829	722	170	134	128
M8Y62_20065	1019	1281	1261	584	618	675	2498	1943	1621	312	397	248
M8Y62_20070	1558	1821	1874	1374	1454	1606	4388	3468	3017	1194	1221	829
M8Y62_20075	394	503	587	1189	1012	1007	1731	1350	965	893	894	375
M8Y62_20080	264	287	268	353	303	294	863	616	552	289	322	151
M8Y62_20085	282	315	281	141	153	177	845	606	531	136	145	91
M8Y62_20090	1394	1594	1558	931	1045	1208	3233	2406	2390	773	815	788
M8Y62_20095	859	1108	1056	534	647	721	1704	1306	1166	620	571	522
M8Y62_20100	378	456	448	254	327	345	1254	928	781	190	222	144
M8Y62_20105	835	1023	964	929	1112	932	2289	1646	1530	809	857	666
M8Y62_20110	590	726	873	582	523	474	1194	875	850	200	234	217
M8Y62_20115	343	433	444	82	66	77	1242	855	526	47	51	31
M8Y62_20120	56	68	71	60	46	30	126	90	70	42	31	17
M8Y62_20125	22	21	24	14	27	16	62	46	26	18	23	17
M8Y62_20130	1153	1177	1036	338	403	452	1625	1202	1141	290	379	447
M8Y62_20135	1438	1535	1342	740	868	880	3837	2805	2641	583	682	647
M8Y62_20140	1225	1167	1111	956	1258	1257	3040	2116	2419	1362	1179	1438
M8Y62_20145	1079	1272	1117	842	1003	1059	2958	2226	2561	876	900	800
M8Y62_20150	209	265	278	66	84	107	628	431	440	95	78	35
M8Y62_20155	1	3	2	0	3	0	8	8	10	2	2	0
M8Y62_20160	59	77	69	61	65	68	290	185	163	48	37	28
M8Y62_20165	879	791	799	1081	1186	1343	3084	2044	2355	2151	2340	1728
M8Y62_20170	1	1	3	2	2	0	6	4	1	3	1	1
M8Y62_20175	67	56	59	58	72	79	158	116	128	105	109	128
M8Y62_20180	32	38	32	140	147	107	84	62	65	196	264	197
M8Y62_20185	142	185	192	162	153	136	359	279	249	170	211	147
M8Y62_20190	168	227	216	211	202	180	332	209	208	193	228	130
M8Y62_20195	56	79	87	150	156	129	111	90	82	154	164	89
M8Y62_20200	60	87	70	104	88	103	185	155	102	61	77	42
M8Y62_20205	7	19	12	17	21	16	37	29	19	4	7	7
M8Y62_20210	8	13	12	4	6	6	23	18	15	6	13	5
M8Y62_20215	34	44	45	33	44	24	98	60	60	27	25	20
M8Y62_20220	177	154	111	57	57	60	252	169	163	42	39	36
M8Y62_20225	448	527	458	190	192	196	823	620	483	109	101	62
M8Y62_20230	731	803	738	404	373	380	1074	688	703	234	268	194
M8Y62_20235	196	219	210	207	260	289	1003	765	814	270	357	141
M8Y62_20240	215	251	299	328	405	351	1059	800	1033	665	714	306
M8Y62_20245	376	428	416	313	246	303	848	714	578	156	170	145
M8Y62_20250	840	951	903	504	553	521	2234	1671	1374	345	373	332
M8Y62_20255	575	656	550	543	586	590	1952	1453	1105	788	916	702
M8Y62_20260	348	368	400	275	249	294	836	665	654	270	290	184
M8Y62_20265	179	234	207	232	218	221	496	378	325	253	229	206
M8Y62_20270	319	429	482	734	690	642	976	756	666	515	606	280
M8Y62_20275	2292	2702	3287	3935	3304	4305	2797	2279	1870	2310	2271	1394
M8Y62_20280	506	549	492	614	724	736	1056	749	739	513	534	565
M8Y62_20285	830	908	1088	867	1034	1291	5433	4286	4934	521	623	805
M8Y62_20290	157	159	148	99	101	142	433	364	329	132	143	118
M8Y62_20295	3560	3604	3171	7219	7106	6029	5274	3485	4064	7551	7701	4441
M8Y62_20300	286	348	431	725	590	601	352	244	170	910	869	426
M8Y62_20305	101	119	126	98	121	112	429	245	279	150	148	106
M8Y62_20310	39	41	39	46	58	50	128	85	68	97	134	91
M8Y62_20315	214	252	256	46	62	35	680	463	360	43	59	40
M8Y62_20320	64	64	59	80	113	115	115	112	95	115	130	108
M8Y62_20325	1033	1078	1158	2022	2281	1957	2714	1979	2211	2333	2404	1692
M8Y62_20330	61	57	56	39	33	24	125	101	74	40	37	61
M8Y62_20335	1407	1554	1715	778	841	613	1349	879	926	429	567	465
M8Y62_20340	776	821	797	248	267	277	1626	1328	1291	206	247	220
M8Y62_20345	673	649	627	238	285	298	1460	1261	1167	200	210	157
M8Y62_20350	163	181	176	149	186	173	408	250	286	194	183	170
M8Y62_20355	226	277	248	195	183	237	785	576	591	152	205	134
M8Y62_20360	645	733	735	638	702	799	2130	1589	1538	457	603	437
M8Y62_20365	32	26	24	8	10	8	78	49	44	11	9	3
M8Y62_20370	14	20	20	16	13	20	31	42	18	10	17	14
M8Y62_20375	7	10	8	1	2	3	12	19	15	2	6	3
M8Y62_20380	2	8	4	6	4	4	15	8	9	3	4	3
M8Y62_20385	14	10	6	7	6	9	26	14	24	10	10	7
M8Y62_20390	88	84	77	116	86	101	285	176	183	71	82	95
M8Y62_20395	91	97	86	35	43	38	172	135	109	36	33	15
M8Y62_20400	28	35	27	11	10	8	54	74	49	13	10	9
M8Y62_20420	64	50	92	101	114	107	157	153	100	65	81	48
M8Y62_20425	25	19	41	31	50	47	78	70	44	26	25	16
M8Y62_20430	4	2	2	0	4	3	8	4	3	1	1	0
M8Y62_20435	27	43	38	24	32	38	52	44	26	20	34	15
M8Y62_20440	26	20	15	30	24	18	33	40	24	18	23	10
M8Y62_20445	22	20	6	15	12	18	33	29	17	9	6	7
M8Y62_20450	22	12	17	8	12	15	30	29	32	11	10	11
M8Y62_20455	18	12	21	11	17	12	23	18	29	19	12	8
M8Y62_20460	39	52	48	39	39	42	75	48	52	38	48	66
